Song ID,pop,rap,dance-pop,post-teen-pop,pop-rap,trap,reggaeton,trap-latino,latin,hip-hop,melodic-rap,canadian-pop,electropop,pop-dance,atl-hip-hop
3Wrjm47oTz2sjIgck11l5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5HCyWlXZPP0y6Gqq8TgA20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ZtFanR9U6ndgddUvNcjcG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6PQ88X9TkUIAUIZJHW2upE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27NovPIUIRrOZoCHxABJwK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67BtfxlNbhBmCDR2L2l8qd,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
748mdHapucXQri7IAO8yFK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4fSIb4hdOQ151TILNsSEaF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2JPLbjOn0wPCngEot2STUS,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
4pt5fDVTg5GhEvEtlz9dKk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463CkQjx2Zk1yXoBuierM9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6hf0RpxTbOprT5nnwzkk8e,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0LThjFY2iTtNdd4wviwVV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4iJyoBOLtHqaGxP12qzhQI,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2bgTY4UwhfBYhGT4HUYStN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CZ40GBx1sQ9agT82CLQCT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6HU7h9RYOaPRFeh0R3UeAr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37BZB0z9T8Xu7U3e65qxFy,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
05bfbizlM5AX6Mf1RRyMho,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3Vi5XqYrmQgOYBajMWSvCi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0G2zPzWqVjR68iNPmx2TBe,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5lAnYvAIkSDNXqfo7DyFUm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5wANPM4fQCJwkGd4rN57mH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3USxtqRwSYz57Ewm6wWRMp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VjIjW4GlUZAMYd2vXMi3b,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2tGvwE8GcFKwNdAXMnlbfl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fwSHlTEWpluwOM0Sxnh5k,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
40uMIn2zJLAQhNXghRjBed,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4cG7HUWYHBV6R6tHn1gxrl,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3Ofmpyhv5UAQ70mENzB277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7MAibcTli4IisCtbHKrGMh,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1058fW9H3fZA6QjYCdOBad,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
5JCoSi02qi3jJeHdZXMmR8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2rCbl9naJYhaxjLsfx88uM,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6UelLqGlWMcVH1E5c4H7lY,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,,,,,,,,,,,,,,,
43PGPuHIlVOc04jrZVh9L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0k4d5YPDr1r7FX77VdqWez,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27RSJHEA99Y0Vsow7nA37A,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
4MzXwWMhyBbmu6hOcLVD49,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
0cOa970mzTWAxKtltpkpLc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0MMyJUC3WNnFS1lit5pTjk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1WedZeiezCmCEOzLwhx0hV,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4saklk6nie3yiGePpBwUoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f3Slt0GbA2bPZlz0aIFXN,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5K6Ssv4Z3zRvxt0P6EKUAP,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4jPy3l0RUwlUI9T5XHBW2m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6w8yBI2vthyN9UnwO4UBWb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
